id_ocupacao,descricao
860,Operador de instalações de produção e distribuição de energia
323,Técnico da ciência da saúde animal
224,Profissional da educação física (exceto professor)
374,"Técnico em operação de aparelhos de sonorização, cenografia e projeção"
420,"Trabalhador de atendimento ao público, caixa, despachante, recenseador e afins"
630,"Pescador, caçador e extrativista florestal"
517,Trabalhador dos serviços de proteção e segurança (exceto militar)
215,"Piloto de aeronaves, comandante de embarcações e oficiais de máquinas"
253,"Profissional de marketing, de publicidade e de comercialização"
318,Desenhista técnico e modelista
377,"Atleta, desportista e afins"
40,Policial Militar
105,"Dirigente superior da administração pública (ocupante de cargo de direção, chefia, assessoria e de natureza especial), inclusive os das fundações públicas e autarquias"
115,Servidor das carreiras de ciência e tecnologia
117,Titular de Cartório
241,Advogado
213,"Físico, químico, meteorologista, geólogo, oceanógrafo e afins"
222,Agrônomo e afins
252,"Economista, administrador, contador, auditor e afins"
266,"Escritor, crítico, redator"
513,Trabalhador dos serviços de hotelaria e alimentação
104,Membro do Ministério Público (Procurador e Promotor)
221,"Biólogo, biomédico e afins"
263,Sacerdote ou membro de ordens ou seitas religiosas
325,Técnico de bioquímica e da biotecnologia
710,Trabalhador da indústria extrativa e da construção civil
295,Instrutor e professor de escolas livres
750,"Joalheiro, vidreiro, ceramista e afins"
271,"Locutor, comentarista"
311,Técnico em ciências físicas e químicas
355,Corretor e Administrador de Imóveis
820,Trabalhador de instalações siderúrgicas e de materiais de construção
231,Fisioterapeuta (a partir do ano-calendário 2024)
376,"Apresentador, artistas de artes populares e modelos"
